Date,nom_ar,nom_fr,unite,valeur
2025-12-16 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-16 05:00:00,L'humidité du sol,L'humidité du sol,mV,582.6
2025-12-16 05:00:00,Température,Température,°c,15.6
2025-12-16 03:00:00,Température,Température,°c,15.7
2025-12-16 03:00:00,L'humidité du sol,L'humidité du sol,mV,582.9
2025-12-16 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-16 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-16 01:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-12-16 01:00:00,Température,Température,°c,15.7
2025-12-15 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 23:00:00,L'humidité du sol,L'humidité du sol,mV,582.9
2025-12-15 23:00:00,Température,Température,°c,15.7
2025-12-15 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 21:00:00,L'humidité du sol,L'humidité du sol,mV,582.9
2025-12-15 21:00:00,Température,Température,°c,15.8
2025-12-15 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 19:00:00,L'humidité du sol,L'humidité du sol,mV,582.6
2025-12-15 19:00:00,Température,Température,°c,15.7
2025-12-15 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 13:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-12-15 13:00:00,Température,Température,°c,15.4
2025-12-15 11:00:00,Température,Température,°c,15.4
2025-12-15 11:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-12-15 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 07:00:00,L'humidité du sol,L'humidité du sol,mV,582.7
2025-12-15 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 07:00:00,Température,Température,°c,15.5
2025-12-15 05:00:00,Température,Température,°c,15.5
2025-12-15 05:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-12-15 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 03:00:00,Température,Température,°c,15.5
2025-12-15 03:00:00,L'humidité du sol,L'humidité du sol,mV,582.8
2025-12-15 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 01:00:00,L'humidité du sol,L'humidité du sol,mV,582.8
2025-12-15 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-15 01:00:00,Température,Température,°c,15.5
2025-12-14 23:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-12-14 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 23:00:00,Température,Température,°c,15.5
2025-12-14 21:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-12-14 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 21:00:00,Température,Température,°c,15.5
2025-12-14 19:00:00,L'humidité du sol,L'humidité du sol,mV,582.4
2025-12-14 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 19:00:00,Température,Température,°c,15.3
2025-12-14 17:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-12-14 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 17:00:00,Température,Température,°c,15.1
2025-12-14 15:00:00,Température,Température,°c,14.7
2025-12-14 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 15:00:00,L'humidité du sol,L'humidité du sol,mV,582.2
2025-12-14 13:00:00,Température,Température,°c,14.5
2025-12-14 13:00:00,L'humidité du sol,L'humidité du sol,mV,581.9
2025-12-14 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.0
2025-12-14 11:00:00,L'humidité du sol,L'humidité du sol,mV,582.1
2025-12-14 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 11:00:00,Température,Température,°c,14.5
2025-12-14 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.0
2025-12-14 09:00:00,Température,Température,°c,14.6
2025-12-14 09:00:00,L'humidité du sol,L'humidité du sol,mV,581.9
2025-12-14 07:00:00,Température,Température,°c,14.8
2025-12-14 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 07:00:00,L'humidité du sol,L'humidité du sol,mV,582.2
2025-12-14 05:00:00,L'humidité du sol,L'humidité du sol,mV,582.4
2025-12-14 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 05:00:00,Température,Température,°c,15.0
2025-12-14 03:00:00,L'humidité du sol,L'humidité du sol,mV,582.3
2025-12-14 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 03:00:00,Température,Température,°c,15.2
2025-12-14 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.1
2025-12-14 01:00:00,Température,Température,°c,15.3
2025-12-14 01:00:00,L'humidité du sol,L'humidité du sol,mV,582.5
2025-12-13 23:00:00,Température,Température,°c,15.4
