Date,nom_ar,nom_fr,unite,valeur
2025-12-15 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.62
2025-12-15 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 07:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.4
2025-12-15 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 07:00:00,Point de Rosée,Point de Rosée,°c,13.7
2025-12-15 07:00:00,Humidité relative,Humidité relative,%,96.7
2025-12-15 07:00:00,Température,Température,°c,14.2
2025-12-15 07:00:00,Direction du vent,Direction du vent,Deg,153.8
2025-12-15 05:00:00,Direction du vent,Direction du vent,Deg,192.2
2025-12-15 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.7
2025-12-15 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 05:00:00,Point de Rosée,Point de Rosée,°c,13.0
2025-12-15 05:00:00,Humidité relative,Humidité relative,%,94.8
2025-12-15 05:00:00,Température,Température,°c,13.8
2025-12-15 05:00:00,Vitesse du vent,Vitesse du vent,m/s,0.71
2025-12-15 03:00:00,Vitesse du vent,Vitesse du vent,m/s,2.78
2025-12-15 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.0
2025-12-15 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 03:00:00,Point de Rosée,Point de Rosée,°c,13.8
2025-12-15 03:00:00,Humidité relative,Humidité relative,%,95.0
2025-12-15 03:00:00,Température,Température,°c,14.6
2025-12-15 03:00:00,Direction du vent,Direction du vent,Deg,184.2
